timestamp,gpu_temp,cpu_temp,gpu_util,power,ram,system_state,temp_trend,decision,yolo_precision,bert_precision,yolo_latency_ms,bert_latency_ms,total_latency_ms,fps,throughput_tasks_per_sec,energy_per_inf_j,scheduler_overhead_ms,cost_function
07:22:35,46.062,49.937,0.0,6.693,4622,Normal,-0.125,YOLO_INT8+BERT_INT8,int8,int8,42.60,9.17,51.77,23.48,309.08,0.3465,5.4874,0.2109
07:22:37,45.968,49.937,0.0,6.652,4622,Normal,-0.094,YOLO_INT8+BERT_INT8,int8,int8,44.26,6.00,50.26,22.59,318.37,0.3343,5.3329,0.2079
07:22:39,46.218,50.281,0.0,6.652,4622,Normal,0.250,YOLO_INT8+BERT_INT8,int8,int8,39.63,9.65,49.28,25.24,324.69,0.3278,5.3697,0.2066
07:22:41,46.156,49.906,0.0,6.652,4622,Normal,-0.062,YOLO_INT8+BERT_INT8,int8,int8,43.69,6.90,50.60,22.89,316.22,0.3366,6.0847,0.2086
07:22:42,46.062,50.031,33.0,6.693,4622,Normal,-0.094,YOLO_INT8+BERT_INT8,int8,int8,41.96,9.16,51.12,23.83,312.98,0.3422,5.7650,0.2098
07:22:44,46.218,49.906,0.0,6.652,4622,Normal,0.156,YOLO_INT8+BERT_INT8,int8,int8,39.51,9.15,48.66,25.31,328.79,0.3237,9.1455,0.2056
07:22:46,46.156,50.312,0.0,6.612,4622,Normal,-0.062,YOLO_INT8+BERT_INT8,int8,int8,41.39,9.55,50.94,24.16,314.09,0.3368,5.8520,0.2088
07:22:48,45.937,50.062,0.0,6.652,4622,Normal,-0.219,YOLO_INT8+BERT_INT8,int8,int8,41.24,9.16,50.40,24.25,317.47,0.3353,5.3577,0.2081
07:22:49,45.843,50.0,0.0,6.652,4622,Normal,-0.094,YOLO_INT8+BERT_INT8,int8,int8,40.42,9.23,49.65,24.74,322.26,0.3303,5.4374,0.2068
07:22:51,46.187,49.968,0.0,6.612,4622,Normal,0.344,YOLO_INT8+BERT_INT8,int8,int8,44.63,6.26,50.89,22.41,314.40,0.3365,6.0260,0.2088
07:22:53,46.218,49.75,0.0,6.652,4623,Normal,0.031,YOLO_INT8+BERT_INT8,int8,int8,41.02,9.13,50.15,24.38,319.03,0.3336,5.3864,0.2080
07:22:55,46.062,49.875,0.0,6.652,4623,Normal,-0.156,YOLO_INT8+BERT_INT8,int8,int8,39.75,9.52,49.27,25.16,324.75,0.3277,5.3763,0.2064
07:22:56,46.125,50.0,0.0,6.693,4624,Normal,0.063,YOLO_INT8+BERT_INT8,int8,int8,41.94,9.51,51.45,23.84,310.97,0.3444,5.7766,0.2104
07:22:58,45.937,50.093,0.0,6.652,4624,Normal,-0.188,YOLO_INT8+BERT_INT8,int8,int8,38.69,8.12,46.80,25.85,341.85,0.3113,5.4104,0.2022
07:23:00,45.906,49.937,0.0,6.652,4624,Normal,-0.031,YOLO_INT8+BERT_INT8,int8,int8,41.94,9.16,51.10,23.84,313.11,0.3399,5.3563,0.2092
07:23:02,46.125,50.062,0.0,6.652,4624,Normal,0.219,YOLO_INT8+BERT_INT8,int8,int8,39.87,6.05,45.92,25.08,348.45,0.3054,5.3930,0.2010
07:23:03,46.062,49.968,0.0,6.652,4624,Normal,-0.063,YOLO_INT8+BERT_INT8,int8,int8,40.54,9.12,49.66,24.67,322.20,0.3303,11.0216,0.2070
07:23:05,45.906,49.968,0.0,6.652,4624,Normal,-0.156,YOLO_INT8+BERT_INT8,int8,int8,39.55,9.18,48.73,25.28,328.36,0.3241,5.4014,0.2054
07:23:07,46.0,49.968,0.0,6.652,4624,Normal,0.094,YOLO_INT8+BERT_INT8,int8,int8,42.46,6.28,48.74,23.55,328.27,0.3242,5.5869,0.2055
07:23:09,46.093,50.343,0.0,6.693,4624,Normal,0.093,YOLO_INT8+BERT_INT8,int8,int8,39.81,9.86,49.67,25.12,322.11,0.3325,5.3837,0.2075
07:23:10,46.031,49.843,0.0,6.652,4624,Normal,-0.062,YOLO_INT8+BERT_INT8,int8,int8,39.89,9.78,49.67,25.07,322.13,0.3304,5.3954,0.2070
07:23:12,46.125,50.0,25.0,6.773,4624,Normal,0.094,YOLO_INT8+BERT_INT8,int8,int8,41.42,9.16,50.59,24.14,316.29,0.3426,3.1216,0.2098
07:23:14,45.875,50.125,0.0,6.612,4624,Normal,-0.250,YOLO_INT8+BERT_INT8,int8,int8,40.39,9.14,49.53,24.76,323.01,0.3275,5.3883,0.2062
07:23:16,45.906,50.0,0.0,6.652,4624,Normal,0.031,YOLO_INT8+BERT_INT8,int8,int8,38.49,9.10,47.59,25.98,336.19,0.3166,5.3036,0.2035
07:23:17,46.062,49.968,0.0,6.652,4624,Normal,0.156,YOLO_INT8+BERT_INT8,int8,int8,38.91,8.39,47.29,25.70,338.31,0.3146,5.4183,0.2032
07:23:19,45.875,49.968,0.0,6.652,4624,Normal,-0.187,YOLO_INT8+BERT_INT8,int8,int8,41.64,5.92,47.55,24.02,336.47,0.3163,5.3074,0.2034
